file,mae,mse,rmse,mape,smape
test_results_10044504.csv,2.93,-9.31,-4.95,-2.04,-0.42
test_results_10109566.csv,53.4,0.06,61.08,,0.0
test_results_10001851.csv,4.89,-6.89,-3.53,15.1,-0.02
test_results_10100350.csv,53.4,0.06,61.08,,0.0
test_results_10124645.csv,55.23,-76.18,-32.45,,0.0
test_results_10000924.csv,53.4,0.06,61.08,,0.0
test_results_10001225.csv,7.33,-33.93,-16.42,-0.14,-0.0
test_results_10000352.csv,3.93,-7.74,-3.78,-6.64,-27.98
test_results_10001917.csv,68.39,-11492.59,-981.42,,0.0
test_results_10110893.csv,25.68,-125.52,-49.71,-12.66,-19.02
test_results_10001105.csv,-12.48,9.96,5.02,-19.64,-19.76
test_results_10097275.csv,12.83,0.48,0.25,-0.08,-0.0
test_results_10119398.csv,49.27,0.06,56.0,,0.0
test_results_10097272.csv,-5.31,6.52,3.32,46.67,-7.26
test_results_10002053.csv,4.28,-5.48,-2.85,-0.53,-0.08
test_results_10029337.csv,51.06,-640.02,-151.43,,0.0
test_results_10099953.csv,-27.96,-119.34,-49.33,-161.15,-36.62
test_results_10001219.csv,1.57,1.15,0.59,-0.01,-0.0
test_results_10097991.csv,-1.16,-17.16,-7.86,-82.79,-30.98
test_results_10008749.csv,49.9,-30406.25,-1714.78,,0.0
test_results_10109568.csv,53.4,0.06,61.08,,0.0
test_results_10022566.csv,8.07,-41.23,-19.37,12.34,-0.81
test_results_10121334.csv,53.73,0.06,61.36,,0.0
test_results_10101873.csv,46.93,-1769.02,-332.67,-587.17,-17.53
test_results_10108303.csv,53.4,0.06,61.08,,0.0
test_results_10023670.csv,7.89,7.22,3.67,32.24,-3.34
test_results_10001218.csv,17.43,-555.34,-160.34,-9.83,-0.16
test_results_10001614.csv,1.71,1.89,0.92,-0.67,-0.05
test_results_10099378.csv,53.4,0.06,61.08,,0.0
test_results_10036544.csv,4.29,-3.3,-1.54,4.06,-0.0
test_results_10001745.csv,49.27,-1.43,56.0,,0.0
test_results_10103234.csv,49.92,39.75,33.89,,0.0
test_results_10001184.csv,-4.62,6.44,3.28,27.53,-15.88
test_results_10110926.csv,67.89,-354.11,-101.76,,0.0
test_results_10112635.csv,49.27,0.06,56.0,,0.0
test_results_10037520.csv,49.27,0.06,56.0,,0.0
test_results_10001922.csv,1.4,1.72,0.87,17.74,-8.04
test_results_10037494.csv,53.4,0.06,61.08,,0.0
test_results_10026003.csv,12.66,1.66,0.83,19.44,-0.42
test_results_10097271.csv,22.31,-156.81,-59.52,22.52,-5.46
test_results_10116432.csv,53.4,0.06,61.08,,0.0
test_results_10136724.csv,53.4,0.06,61.08,,0.0
test_results_10102136.csv,2.05,0.17,0.08,-0.01,-0.0
test_results_10022569.csv,54.76,-30595.06,-1698.06,,0.0
test_results_10094526.csv,7.34,-36.2,-16.69,-286.63,-31.94
test_results_10100295.csv,53.4,0.06,61.08,,0.0
test_results_10001752.csv,49.27,-1.43,61.08,,0.0
test_results_10001596.csv,-155.06,5.43,2.73,52.99,-0.01
test_results_10036541.csv,13.83,-63.24,-28.23,25.15,-0.12
test_results_10024373.csv,12.69,-16.2,-7.8,4.9,-0.06
test_results_10001027.csv,52.75,0.07,60.32,,0.0
test_results_10125748.csv,53.4,0.06,61.08,,0.0
test_results_10002118.csv,41.44,-664.99,-180.75,77.02,-0.6
test_results_10001147.csv,9.71,-0.19,-0.09,-0.06,-0.0
test_results_10037487.csv,53.4,0.06,61.08,,0.0
test_results_10135324.csv,53.73,0.06,61.36,,0.0
test_results_10002120.csv,6.29,-175.85,-65.92,-29.7,-10.6
test_results_10101992.csv,36.31,-1373.41,-286.57,-115.0,-1.28
test_results_10028953.csv,64.48,-31074.28,-1689.73,,0.0
test_results_10034504.csv,48.96,-38295.42,-1949.08,,0.0
test_results_10000722.csv,52.86,-115.35,-45.11,,0.0
test_results_10100356.csv,53.4,0.06,61.08,,0.0
test_results_10116563.csv,53.73,1.54,61.36,,0.0
test_results_10116504.csv,53.4,0.06,61.08,,0.0
test_results_10002373.csv,53.4,0.06,61.08,,0.0
test_results_10000336.csv,5.07,0.73,0.37,2.85,-0.0
test_results_10001448.csv,-8.62,4.65,2.37,-129.98,-42.86
test_results_10000337.csv,43.06,-2932.09,-446.23,,0.0
test_results_10103240.csv,53.4,-1.43,56.0,,0.0
test_results_10100573.csv,9.3,-2.94,-1.43,5.62,-0.01
test_results_10100571.csv,53.63,0.06,61.21,,0.0
test_results_10001084.csv,-6.42,-16.22,-7.59,-40.83,-17.22
test_results_10005063.csv,49.27,0.06,56.0,,0.0
test_results_10001077.csv,9.54,-81.38,-35.43,55.7,-1.38
test_results_10022590.csv,-20.3,-29.9,-14.87,-272.4,-48.26
test_results_10022766.csv,11.88,-113.54,-46.22,-167.72,-23.28
test_results_10098377.csv,37.84,-20952.82,-1393.24,,0.0
test_results_10021107.csv,3.2,-195.66,-71.21,-260.95,-28.65
test_results_10000360.csv,-7.21,-80.14,-33.94,-194.92,-47.51
test_results_10113278.csv,3.24,6.04,3.13,-12.5,-23.24
test_results_10120900.csv,53.4,0.06,61.08,,0.0
test_results_10001183.csv,50.64,0.06,58.8,,0.0
test_results_10120894.csv,62.71,-19689.24,-1277.87,,0.0
test_results_10029531.csv,57.65,-21482.46,-1391.28,,0.0
test_results_10107120.csv,49.27,0.06,56.0,,0.0
test_results_10103073.csv,0.44,0.03,0.02,-0.0,-0.0
test_results_10021230.csv,23.23,-83.01,-34.61,48.12,-3.05
test_results_10022617.csv,49.27,0.06,56.0,,0.0
test_results_10025995.csv,28.59,-49.51,-22.4,41.09,-0.86
test_results_10135384.csv,53.73,0.06,61.36,,0.0
test_results_10036554.csv,53.4,0.06,58.8,,0.0
test_results_10097266.csv,24.96,-64.8,-28.39,-7.55,-12.97
test_results_10001906.csv,5.19,3.34,1.7,30.37,-1.78
test_results_10128890.csv,49.27,0.06,56.0,,0.0
test_results_10001231.csv,29.36,-1210.19,-267.84,-961.34,-16.16
test_results_10125805.csv,0.08,0.33,0.18,-0.0,-0.0
test_results_10000033.csv,-0.68,-37.24,-17.15,-39.43,-20.29
test_results_10092088.csv,48.44,18.36,35.34,,0.0
test_results_10022960.csv,20.36,-1332.16,-281.38,68.37,-0.03
test_results_10113181.csv,49.27,0.06,56.0,,0.0
